Takim No, Paket No, Zaman, Basinc1, Basinc2, Yukseklik1 , yukseklik2, Irtifa Farki, Inis Hizi, Sicaklik, Pil Gerilimi, GPS Longtitude1, GPS Latitude1, GPS Altitude1, GPS Latitude2, GPS Longtitude, GPS Altitude2, Uydu Statusu, Pitch, Roll, Yaw, Donus Sayisi, Video Aktarim Bilgisi
464474,35,1:10:51,90458,90191,-0.035170,0.000000,0.035170,0.062428,25.379999,15.349895,33.985096,38.350018,959.799988,33.985001,38.350037,0.000000,Bekleme,-0.990023,-1.493973,-0.132028,0,hayir 
464474,1,1:10:52,90457,90191,0.045502,0.000000,-0.045502,-0.089636,25.389999,15.358737,33.985096,38.350021,959.700012,33.985001,38.350037,0.000000,Bekleme,-0.880059,-1.580834,-0.130917,0,hayir 
464474,2,1:10:53,90455,90189,0.045466,0.091736,0.046270,0.000040,25.389999,15.358737,33.985096,38.350021,959.700012,33.985001,38.350044,0.000000,Bekleme,-0.859969,-1.533513,-0.139920,0,hayir 
464474,3,1:10:55,90458,90187,0.083583,0.000000,-0.083583,-0.042352,25.400000,15.354316,33.985092,38.350021,959.500000,33.985001,38.350044,0.000000,Bekleme,-0.957196,-2.202074,-0.125823,0,hayir 
464474,4,1:10:56,90457,90189,0.045471,-0.365784,-0.411255,0.042346,25.410000,15.358737,33.985092,38.350021,959.500000,33.980000,38.350044,0.000000,Bekleme,-0.868943,-1.633065,-0.135956,0,hayir 
464474,5,1:10:57,90454,90189,0.098785,-0.365784,-0.464569,-0.059238,25.420000,15.354316,33.985088,38.350021,959.500000,33.980000,38.350044,0.000000,Bekleme,-0.867318,-1.579467,-0.141862,0,hayir 
464474,6,1:10:58,90456,90192,0.174815,0.091736,-0.083079,-0.084477,25.430000,15.358737,33.985088,38.350021,959.500000,33.985001,38.350044,0.000000,Bekleme,-0.966503,-1.507546,-0.186004,0,hayir 
464474,7,1:10:59,90460,90188,0.189472,0.000000,-0.189472,-0.007773,25.450001,15.358737,33.985092,38.350021,959.700012,33.985001,38.350044,0.000000,Bekleme,-1.849127,-0.332235,8.147959,0,hayir 
464474,8,1:11:0,90455,90190,0.281372,0.000000,-0.281372,-0.102111,25.430000,15.296843,33.985092,38.350021,959.700012,33.985001,38.350044,0.000000,Bekleme,-0.916012,1.902401,23.355103,0,hayir 
464474,9,1:11:1,90457,90189,0.258499,0.000000,-0.258499,0.025414,25.440001,15.358737,33.985092,38.350021,960.200012,33.985001,38.350044,0.000000,Bekleme,3.418282,1.775450,26.895235,0,hayir 
