Takim No, Paket No, Zaman, Basinc1, Basinc2, Yukseklik1 , yukseklik2, Irtifa Farki, Inis Hizi, Sicaklik, Pil Gerilimi, GPS Longtitude1, GPS Latitude1, GPS Altitude1, GPS Latitude2, GPS Longtitude, GPS Altitude2, Uydu Statusu, Pitch, Roll, Yaw, Donus Sayisi, Video Aktarim Bilgisi
464474,54,1:33:20,90444,90182,0.470637,0.000000,-0.470637,-0.039057,23.990000,15.181894,33.985063,38.350045,957.299988,33.985000,38.349715,0.000000,Bekleme,0.648253,5.075016,131.196152,0,hayir 
464474,2,1:33:20,90444,90182,0.342499,0.000000,-0.342499,0.142376,24.000000,15.186316,33.985067,38.350053,957.299988,33.985000,38.349719,0.000000,Bekleme,-0.861872,12.256906,144.185471,0,hayir 
464474,8,1:33:27,90438,90181,0.435580,-0.000000,-0.435580,-0.062433,24.070000,15.181894,33.985063,38.350045,959.400024,33.985000,38.349723,0.000000,Bekleme,3.149548,7.389419,159.403381,0,hayir 
464474,9,1:33:28,90444,90179,0.471776,-0.000000,-0.471776,-0.040218,24.059999,15.186316,33.985063,38.350045,959.400024,33.985000,38.349723,0.000000,Bekleme,4.081819,6.474064,157.175369,0,hayir 
464474,13,1:33:32,90438,90182,0.323158,-0.000000,-0.323158,0.007820,24.110001,15.181894,33.985067,38.350045,958.900024,33.985000,38.349736,0.000000,Bekleme,3.465601,7.945939,156.757355,0,hayir 
464474,14,1:33:33,90437,90180,0.379437,-0.000000,-0.379437,0.085747,24.120001,15.181894,33.985067,38.350045,958.900024,33.985000,38.349740,0.000000,Bekleme,4.185494,8.161755,156.932373,0,hayir 
464474,15,1:33:34,90445,90179,0.365250,-0.000000,-0.365250,0.015764,24.139999,15.181894,33.985067,38.350045,958.900024,33.985000,38.349744,0.000000,Bekleme,4.401975,7.908328,156.847855,0,hayir 
464474,18,1:33:37,90440,90180,0.470637,0.000094,-0.470543,0.023428,24.180000,15.181894,33.985071,38.350041,959.000000,33.985000,38.349744,0.000000,Bekleme,4.788320,8.770094,157.467712,0,hayir 
464474,20,1:33:39,90442,90180,0.519827,0.000000,-0.519827,-0.061816,24.209999,15.177474,33.985083,38.350037,959.900024,33.985000,38.349744,0.000000,Bekleme,4.798166,8.983578,157.611557,0,hayir 
464474,21,1:33:40,90439,90178,0.502187,0.000000,-0.502187,0.019600,24.200001,15.181894,33.985083,38.350037,959.900024,33.985000,38.349748,0.000000,Bekleme,4.440789,9.351949,157.612152,0,hayir 
464474,22,1:33:41,90434,90184,0.554871,0.000000,-0.554871,0.102155,24.190001,15.181894,33.985095,38.350028,961.599976,33.985000,38.349752,0.000000,Bekleme,4.512864,9.556098,157.541565,0,hayir 
464474,24,1:33:43,90436,90181,0.547908,0.000000,-0.547908,0.067585,24.209999,15.181894,33.985103,38.350016,964.099976,33.985000,38.349760,0.000000,Bekleme,4.888354,8.563070,157.655334,0,hayir 
464474,26,1:33:45,90435,90178,0.604056,0.000000,-0.604056,-0.315982,24.230000,15.177474,33.985116,38.350004,967.000000,33.985000,38.349764,0.000000,Bekleme,4.835904,7.450049,157.543869,0,hayir 
464474,28,1:33:47,90435,90180,0.870887,0.000000,-0.870887,-0.063061,24.260000,15.181894,33.985124,38.349996,968.799988,33.985000,38.349768,0.000000,Bekleme,5.556890,7.211086,158.050735,0,hayir 
464474,29,1:33:48,90434,90177,0.973918,0.000094,-0.973824,-0.114478,24.280001,15.177474,33.985124,38.349996,968.799988,33.985000,38.349764,0.000000,Bekleme,5.099709,7.390897,157.949707,0,hayir 
464474,30,1:33:49,90433,90181,0.962229,0.000000,-0.962229,0.038317,24.290001,15.181894,33.985128,38.349992,970.000000,33.985000,38.349760,0.000000,Bekleme,5.026919,7.575424,158.811325,0,hayir 
464474,31,1:33:50,90434,90183,0.966293,-0.000000,-0.966293,-0.004516,24.299999,15.177474,33.985128,38.349992,970.000000,33.985000,38.349752,0.000000,Bekleme,-1.203773,0.235597,158.444443,0,hayir 
464474,34,1:33:54,90433,90179,0.941115,0.000000,-0.941115,0.039057,24.309999,15.181894,33.985128,38.350000,969.400024,33.985000,38.349760,0.000000,Bekleme,-0.310713,0.120660,158.462784,0,hayir 
464474,38,1:33:58,90432,90180,0.807697,0.000000,-0.807697,-0.062391,24.299999,15.173053,33.985124,38.350004,968.599976,33.985000,38.349760,0.000000,Bekleme,3.346110,0.342532,159.482208,0,hayir 
464474,41,1:34:1,90431,90176,1.025381,0.000076,-1.025305,-0.031154,24.340000,15.177474,33.985120,38.350004,968.299988,33.985000,38.349764,0.000000,Bekleme,3.775604,1.109856,160.013718,0,hayir 
464474,42,1:34:2,90434,90178,0.928335,0.000076,-0.928258,0.107830,24.340000,15.177474,33.985120,38.350004,968.200012,33.985000,38.349764,0.000000,Bekleme,3.029098,0.055338,160.079941,0,hayir 
464474,43,1:34:3,90431,90178,1.095622,0.000000,-1.095622,-0.185875,24.330000,15.177474,33.985120,38.350004,968.200012,33.985000,38.349764,0.000000,Bekleme,-0.887198,-0.379479,155.704254,0,hayir 
464474,44,1:34:4,90431,90181,1.118546,0.000000,-1.118546,-0.025471,24.350000,15.177474,33.985116,38.350008,968.099976,33.985000,38.349760,0.000000,Bekleme,-2.620395,3.343394,157.791077,0,hayir 
464474,45,1:34:5,90433,90179,1.087957,0.000094,-1.087863,0.033987,24.370001,15.181894,33.985116,38.350008,968.099976,33.985000,38.349760,0.000000,Bekleme,1.983579,6.066183,137.400146,0,hayir 
