Takim No, Paket No, Zaman, Basinc1, Basinc2, Yukseklik1 , yukseklik2, Irtifa Farki, Inis Hizi, Sicaklik, Pil Gerilimi, GPS Longtitude1, GPS Latitude1, GPS Altitude1, GPS Latitude2, GPS Longtitude, GPS Altitude2, Uydu Statusu, Pitch, Roll, Yaw, Donus Sayisi, Video Aktarim Bilgisi
464474,167,1:9:35,90456,90192,1.421880,0.000000,-1.421880,0.000011,25.230000,3.041684,33.985085,38.350021,955.099976,33.985001,38.350044,0.000000,Bekleme,-2.108856,0.056278,-42.067688,0,hayir 
464474,1,1:9:37,90453,90191,1.438885,-0.091736,-1.530621,-0.085835,25.230000,2.546526,33.985088,38.350018,954.099976,33.980000,38.350044,0.000000,Bekleme,-2.135514,0.140772,-42.103905,0,hayir 
464474,2,1:9:38,90459,90185,1.497945,-0.365784,-1.863729,-0.065622,25.240000,3.041684,33.985088,38.350018,954.099976,33.980000,38.350044,0.000000,Bekleme,-2.109830,0.152071,-42.142788,0,hayir 
464474,3,1:9:39,90451,90189,1.558767,-0.091736,-1.650503,-0.067579,25.240000,3.046105,33.985088,38.350018,953.299988,33.980000,38.350044,0.000000,Bekleme,-2.147136,0.108704,-42.190670,0,hayir 
464474,4,1:9:40,90456,90189,1.459869,-0.549194,-2.009063,0.109886,25.260000,3.041684,33.985088,38.350018,953.299988,33.980000,38.350044,0.000000,Bekleme,-2.299024,0.079143,-42.224529,0,hayir 
464474,5,1:9:41,90454,90187,1.528361,-0.549194,-2.077555,-0.076102,25.260000,3.041684,33.985085,38.350021,953.099976,33.980000,38.350044,0.000000,Bekleme,-2.092056,0.179037,-42.264576,0,hayir 
464474,6,1:9:42,90457,90189,1.482661,-0.274597,-1.757258,0.050778,25.270000,3.041684,33.985085,38.350021,953.099976,33.980000,38.350044,0.000000,Bekleme,-2.091114,0.168275,-42.312542,0,hayir 
464474,7,1:9:43,90454,90193,1.475123,-0.457458,-1.932581,0.008375,25.280001,3.041684,33.985088,38.350018,952.700012,33.980000,38.350044,0.000000,Bekleme,-2.035442,0.185713,-42.349442,0,hayir 
464474,8,1:9:44,90457,90192,1.523067,-0.274597,-1.797664,0.015629,25.290001,3.041684,33.985088,38.350018,952.700012,33.980000,38.350044,0.000000,Bekleme,-1.808408,0.313492,-42.404411,0,hayir 
464474,9,1:9:45,90459,90188,1.505575,-0.091736,-1.597311,0.019436,25.309999,3.046105,33.985088,38.350021,953.000000,33.980000,38.350044,0.000000,Bekleme,-1.845201,0.034425,-42.306084,0,hayir 
464474,10,1:9:46,90459,90192,1.247045,-0.549194,-1.796239,0.287255,25.320000,3.046105,33.985088,38.350021,953.000000,33.980000,38.350044,0.000000,Bekleme,-2.191200,-0.439216,-41.565311,0,hayir 
464474,11,1:9:47,90462,90193,1.277328,-0.732056,-2.009385,-0.033648,25.320000,3.041684,33.985085,38.350029,954.500000,33.980000,38.350044,0.000000,Bekleme,-2.208091,0.016034,-41.607689,0,hayir 
464474,12,1:9:48,90455,90189,1.285039,-0.182861,-1.467900,-0.008568,25.350000,3.046105,33.985085,38.350029,954.500000,33.980000,38.350040,0.000000,Bekleme,-2.299659,-0.034785,-41.671570,0,hayir 
464474,13,1:9:49,90460,90191,1.414302,-0.091736,-1.506037,-0.143625,25.370001,3.046105,33.985085,38.350033,954.700012,33.980000,38.350040,0.000000,Bekleme,-2.191778,0.074868,-41.735561,0,hayir 
464474,14,1:9:50,90453,90193,1.239426,-0.640381,-1.879807,0.194307,25.379999,3.046105,33.985085,38.350033,954.700012,33.980000,38.350040,0.000000,Bekleme,-2.150876,0.147057,-41.759968,0,hayir 
464474,15,1:9:51,90456,90189,1.389663,-0.274597,-1.664259,-0.023324,25.389999,3.046105,33.985085,38.350033,954.200012,33.980000,38.350040,0.000000,Bekleme,-2.083369,0.181702,-41.801540,0,hayir 
464474,16,1:9:53,90457,90191,1.444661,-0.091736,-1.536397,-0.061110,25.389999,3.046105,33.985085,38.350033,954.200012,33.980000,38.350037,0.000000,Bekleme,-2.062402,0.033818,-41.843521,0,hayir 
464474,17,1:9:54,90458,90187,1.558812,-0.274597,-1.833410,-0.126834,25.370001,3.046105,33.985085,38.350037,954.099976,33.980000,38.350037,0.000000,Bekleme,-2.048255,0.022418,-41.880531,0,hayir 
464474,18,1:9:55,90454,90189,1.475118,-0.091736,-1.566854,0.092994,25.370001,3.041684,33.985085,38.350037,954.099976,33.980000,38.350037,0.000000,Bekleme,-2.109410,0.078962,-41.925274,0,hayir 
464474,19,1:9:56,90458,90192,1.650080,-0.457458,-2.107538,-0.194403,25.389999,3.046105,33.985085,38.350037,954.000000,33.980000,38.350037,0.000000,Bekleme,-2.326371,-0.142034,-41.963406,0,hayir 
464474,20,1:9:57,90456,90193,1.596756,-0.549194,-2.145950,0.059249,25.350000,3.046105,33.985085,38.350037,954.000000,33.980000,38.350037,0.000000,Bekleme,-2.096407,-0.060643,-42.025188,0,hayir 
464474,21,1:9:58,90455,90190,1.482656,-0.182861,-1.665517,0.126778,25.350000,3.046105,33.985081,38.350037,954.099976,33.980000,38.350037,0.000000,Bekleme,-2.062968,0.018124,-42.069077,0,hayir 
