1099,15:5:13,41,C,F,N,0.329214
,21.760000,8.403000,15:5:13,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON

1099,15:5:13,42,C,F,N,0.175687,21.770000,8.400100,15:5:13,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON

1099,15:5:13,43,C,F,N,0.303327,21.770000,8.369900,15:5:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON

10
99,15:5:13,44,C,F,N,0.363358,21.779999,8.382100,15:5:13,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON

