1
099,15:5:13,7,C,F,N,0.649663,25.090000,8.369900,15:5:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON

1099,15:5:13
,8,C,F,N,0.869328,25.119999,8.382100,15:5:13,32.734482,39.869904,930.432
007,3,LAUNCH_WAIT,CXON

1099,15:5:13,9,C,F,N,0.619055,25.160000,8.403000,15:5:13,32.734482,39.869907,931.729
980,3,LAUNCH_WAIT,CXON

1099,15:5:13,10,C,F,N,0.586175,25.189999,8.400100,15:5:13,32.734486,39.869907,929.98
4009,3,LAUNCH_WAIT,CXON

1099,15:
5:13,11,C,F,N,0.669928,25.230000,8.369900,15:5:13,32.734482,39.869907,932.10
9985,3,LAUNCH_WAIT,CXON

1099,15:5:13,12,C,F,N,0.835047,25.279999,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

1099,15:5:13,13,C,F,N,0.697841,25.299999,8.403000,15:5:13,32.734482,39.869907,931.72
9980,3,LAUNCH_WAIT,CXON

1099,15:5:13,14,C,F,N,0.815517,25.359999,8.400100,15:5:13,32.734486,39.869907,929.98
4009,3,LAUNCH_WAIT,CXON

1099,15:5:13,15,C,F,N,0.932503,25.369999,8.369900,15:5:13,32.734482,39.869907,932.10
9985,3,LAUNCH_WAIT,CXON

1099,15:5:13,16,C,F,N,1.014966,25.410000,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

1099,15:5:13,17,C,F,N,0.8
92381,25.439999,8.403000,15:5:13,32.734482,39.869907,931.72
9980,3,LAUNCH_WAIT,CXON

1099,15:5:13,18,C,F,N,0.965129,25.480000,8.400100,15:5:13,32.734486,39.869907,929.98
4009,3,LAUNCH_WAIT,CXON

1099,15:5:13,19,C,F,N,0.935226,25.500000,8.369900,15:5:13,32.734482,39.869907,932.109985,3,L
AUNCH_WAIT,CXON

1099,15:5:13,20,C,F,N,0.819739,25.529999,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

1099,15:5:13,21,C,F,N,0.819463,25.559999,8.403000,15:5:13,32.734482,39.869907,931.72
9980,3,LAUNCH_WAIT,CXON

109
9,15:5:13,22,C,F,N,0.905218,25.590000,8.400100,15:5:13,32.734486,39.869907,929.98
4009,3,LAUNCH_WAIT,CXON

1099,15:5:13,23,C,F,N,0.922918,25.609999,8.369900,15:5:13,32.734482,39.869907,932.10
9985,3,LAUNCH_WAIT,CXON

1099,15:5:13,24,C,F,N,0.951129,25.660000,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

1099,15:5:13,25,C,F,N,0.867355,25.670000,8.403000,1
5:5:13,32.734482,39.869907,931.72
9980,3,LAUNCH_WAIT,CXON

1099,15:5:13,26,C,F,N,0.721774,25.709999,8.400100,15:5:13,32.734486,39.869907,929.98
4009,3,LAUNCH_WAIT,CXON

1099,15:5:13,27,C,F,N,0.661954,25.730000,8.369900,15:5:13,32.734482,39.869907,932.10
9985,3,LAUNCH_WAIT,CXON

1099,15:5:13,28,C,F,N,0.997464,25.769999,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

