1099,15:
5:13,1,C,F,N,-0.047588,20.070000,8.403000,15:5:13,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON

1099,15:5:13,2,C,F,N,0.050090,20.119999,8.400100,15:5:13,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON

1099,15:5:13,3,C,F,N,0.261448,20.150000,8.369900,15:5:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON

1099,15:5:13,4,C,F,N,0.323125,20.189999,8.382100,15:5:13,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON

1099,15:5:13,5,C,F,N,0.269418,20.219999,8.403000,15:5:13,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON

1099,15:5:13
,6,C,F,N,0.193643,20.250000,8.400100,15:5:13,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON

1099,15:5:13,7,C,F,N,0.107246,20.279999,8.369900,15:5:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON

1099,15:5:13,8,C,F,N,0.317278,20
.299999,8.382100,15:5:13,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON

1099,15:5:13,9,C,F,N,0.336548,20.330000,8.403000,15:5:13,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON

1099,15:5:13,10,C,F,N,0.381053,20.350000,8.400100,15:5:13,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON

1099,15:5:13,11,C,F,N,0.367142,20.379999,8.369900,15:5:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON

1099,15:5:13,12,C,F,N,0.216132
,20.389999,8.382100,15:5:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,CXON

1099,15:5:13,13,C,F,N,0.175704,20.430000,8.403000,15:5:13,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON

