1099,0:0:56,30,C,F,N,0.320984,23.269999,8.400100,0:0:56,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON
1099,0:0:57,31,C,F,N,0.213928,23.279999,8.369900,0:0:57,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON
1099,0:0:58,32,C,F,N,0.305756,23.269999,8.382100,0:0:58,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON
9,0:0:59,33,C,F,N,0.290344,23.279999,8.403000,0:0:59,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON
0,34,C,F,N,0.290344,23.279999,8.400100,0:1:0,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON
1099,0:1:1,35,C,F,N,0.305573,23.289999,8.369900,0:1:1,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON
1099,0:1:2,36,C,F,N,0.229248,23.289999,8.382100,0:1:2,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON
1099,0:1:3,37,C,F,N,0.489044,23.289999,8.403000,0:1:3,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON
1099,0:1:4,38,C,F,N,0.366669,23.289999,8.400100,0:1:4,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON
1099,0:1:5,39,C,F,N,0.320892,23.279999,8.369900,0:1:5,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON
:1:6,40,C,F,N,0.489044,23.289999,8.382100,0:1:6,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON
1099,0:1:7,41,C,F,N,0.412628,23.269999,8.403000,0:1:7,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON
1099,0:1:8,42,C,F,N,0.320892,23.260000,8.400100,0:1:8,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON
1099,0:1:9,43,C,F,N,0.366760,23.289999,8.369900,0:1:9,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON
1099,0:1:10,44,C,F,N,0.427948,23.289999,8.382100,0:1:10,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,CXON
099,0:1:11,45,C,F,N,0.366760,23.309999,8.403000,0:1:11,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,CXON
1099,0:1:12,46,C,F,N,0.198700,23.299999,8.400100,0:1:12,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,CXON
1099,0:1:13,47,C,F,N,0.275116,23.299999,8.369900,0:1:13,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,CXON
