1099,0:18:8,47,C,S,N,0.000008,25.619999,8.369900,0:18:8,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,SIMACTIVE
1099,0:18:9,48,C,S,N,0.000008,25.629999,8.382100,0:18:9,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,SIMP0.000000
1099,0:18:10,49,C,S,N,-6110.440430,25.629999,8.403000,0:18:10,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.0001099,0:18:11,50,C,S,N,-10086.897461,25.639999,8.400100,0:18:11,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:12,51,C,S,N,-13100.258789,25.619999,8.369900,0:18:12,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:13,52,C,S,N,-15553.722656,25.619999,8.382100,0:18:13,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:14,53,C,S,N,-17637.339844,25.639999,8.403000,0:18:14,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:15,54,C,S,N,-19456.201172,25.629999,8.400100,0:18:15,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:16,55,C,S,N,-21075.433594,25.639999,8.369900,0:18:16,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:17,56,C,S,N,-22538.371094,25.639999,8.382100,0:18:17,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:18,57,C,S,N,-23875.072266,25.629999,8.403000,0:18:18,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:19,58,C,S,N,-25107.558594,25.639999,8.400100,0:18:19,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:20,59,C,S,N,-26252.406250,25.639999,8.369900,0:18:20,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:22,60,C,S,N,-27322.447266,25.629999,8.382100,0:18:22,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:23,61,C,S,N,-28327.808594,25.650000,8.403000,0:18:23,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:24,62,C,S,N,-29276.566406,25.639999,8.400100,0:18:24,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:25,63,C,S,N,-30175.447266,25.639999,8.369900,0:18:25,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:26,64,C,S,N,-31029.941406,25.639999,8.382100,0:18:26,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:27,65,C,S,N,-31844.683594,25.639999,8.403000,0:18:27,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:28,66,C,S,N,-32623.529297,25.629999,8.400100,0:18:28,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:29,67,C,S,N,-33369.851562,25.629999,8.369900,0:18:29,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:30,68,C,S,N,-34086.566406,25.629999,8.382100,0:18:30,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
1099,0:18:31,69,C,S,N,-34776.136719,25.639999,8.403000,0:18:31,32.734482,39.869907,931.729980,3,ASCENT,SIMP0.000000
1099,0:18:32,70,C,S,N,-35440.757812,25.639999,8.400100,0:18:32,32.734486,39.869907,929.984009,3,ASCENT,SIMP0.000000
1099,0:18:33,71,C,S,N,-36082.363281,25.639999,8.369900,0:18:33,32.734482,39.869907,932.109985,3,ASCENT,SIMP0.000000
1099,0:18:34,72,C,S,N,-36702.683594,25.639999,8.382100,0:18:34,32.734482,39.869904,930.432007,3,ASCENT,SIMP0.000000
