1099,0:17:12,23,C,F,N
,0.460246,22.519999,8.369900,0:17:12,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:17:13,24,C,F,N,0.537028,22.500000,8.382100,0:17:13,32.734482,39.869904,930.43
2007,3,LAUNCH_WAIT,NO

1099,0:17:14,25,C,F
,N,0.245667,22.510000,8.403000,0:17:14,32.734482,39.869907,931.72
9980,3,LAUNCH_WAIT,NO

1099,0:17:1
5,26,C,F,N,0.475606,22.490000,8.400100,0:17:15,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:16,27,C,F,N,0.582947,22.500000,8.369900,0:17:16,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099
,0:17:17,28,C,F,N,0.429586,22.500000,8.382100,0:17:17,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:17:1
8,29,C,F,N,0.598328,22.500000,8.403000,0:17:18,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:17:19,30,C,F,N,0.322184,22.500000,8.400100,0:17:19,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:20,31,C,F,N
,0.567464,22.510000,8.369900,0:17:20,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099
,0:17:21,32,C,F,N,0.475525,22.510000,8.382100,0:17:21,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:17:22,33,C,F,N,0.536906,22.510000,8.403000,0:17:22,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:17
:23,34,C,F,N,0.521545,22.510000,8.400100,0:17:23,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:24,35,C,F
,N,0.460225,22.500000,8.369900,0:17:24,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:17:25,36,C,F,N,0.475505,22.529999,8.382100,0:1
7:25,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:17:26
,37,C,F,N,0.383565,22.519999,8.403000,0:17:26,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:17:27,38,C,F,N,0.582865,22.
519999,8.400100,0:17:27,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:28,39,C,F,N,0.567586,22.529999,8.369900,0:17:28,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:17:29,40,C,F,N,0.582947,22.519999,8.382100,0:17:29,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:17:30,41,C,F,N,0.659505,22.529999,8.403000,0:17:30,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:17:31,42,C,F,N,0.4
75525,22.529999,8.400100,0:17:31,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:32,43,C,F,N,0.552287,22.529999,8.369900,0:17:32,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:17:33,44,C,F,N,0.506165,22.539999,8.382100,0:17:33,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:17:34,45,C,F,N,0.705546,22.539999,8.403000,0:17:34,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:17:35,46,C,F,N,0.460266,22.539999,8.400100,0:17:35,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:17:36
,47,C,F,N,0.475423,22.529999,8.369900,0:17:36,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:17:37,48,C,F,N,0.536723,22.529999,8.382100,0:17:37,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

