1099,0:34:38,26,
C,F,N,-0.276001,22.449999,8.400100,0:34:38,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:34:39,27,C,F,N,-0.230001,22.449999,8.369900,0:34:39,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:34
:40,28,C,F,N,-0.306742,22.459999,8.382100,0:34:40,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:34:41,29,C,F,N,
-0.076640,22.449999,8.403000,0:34:41,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:34:42,30,C,F,N,-0.230001,22.469999,8.400100,0:34:42,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:34:43,31,C,
F,N,-0.245280,22.480000,8.369900,0:34:43,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:3
4:44,32,C,F,N,-0.184041,22.480000,8.382100,0:34:44,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:34:45,33,C,F,N,-0.230062,22.480000,8.403000,0:34:45,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:36:41,1,C,F,N,-0.153442,22.430000,8.403000,0:36:4
1,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:36:42,2,C,F
,N,-0.368306,22.430000,8.400100,0:36:42,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:36:43,3,C,F,N,-0.230225,22.439999,8.369900,0:36:43,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:36:44,4,C,F,N,-0.506185,2
2.439999,8.382100,0:36:44,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:36:45,5,C,F,N,-0.322388,22.439999,8.403000,0:36:45,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:36:46,6,C,F,N,-0.199666,22.449999,8.400100,0:
36:46,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:36:47,7,C,F,N,-0
.383586,22.449999,8.369900,0:36:47,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:36:48,8,C,F,N,-0.214864,22.449999,8.382100,0:36:48,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:36:49,9,C,F,N,-0.061584,22.459999,8.403000,0:36:49,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:36:
50,10,C,F,N,-0.306905,22.469999,8.400100,0:36:50,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,
0:36:51,11,C,F,N,-0.214945,22.459999,8.369900,0:36:51,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:36:52,12,C,F,N,-0.383586,22.480000,8.382100,0:
36:52,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:36
:53,13,C,F,N,-0.306905,22.469999,8.403000,0:36:53,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:36:54,14,C,F,N,-0.19966
6,22.480000,8.400100,0:36:54,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:38:27,1,C,F,N,0.260600,
22.439999,8.403000,0:38:27,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:38:28,2,C,F,N,0.138000,22.439999,8.400100,0:38:28,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:38:29,3,C,F,N,0.383219,22.449999,8.369900,0:38:29,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:38
:30,4,C,F,N,0.122620,22.449999,8.382100,0:38:30,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:38:31,5,C,F
,N,0.260600,22.469999,8.403000,0:38:31,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:38:32,6,C,F,N,0.337280,22.459999,8.400100,0:38:32,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:38
:33,7,C,F,N,0.383301,22.469999,8.369900,0:38:33,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:38:34,
8,C,F,N,0.429342,22.469999,8.382100,0:38:34,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:38:35,9,C,F,N,0.490641,22.480000,8.40300
0,0:38:35,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:44:50,1,C,F,N,0.490479,22.309999,8.403000,0:44:50,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:44:51,2,C,F,N,0.291341,22.309999,8.400100
,0:44:51,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:44:52,3,C,F,N,0.291239,22.299999,8.369900,0:44:52,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0
:44:53,4,C,F,N,0.429281,22.309999,8.382100,0:44:53,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:44:54,5,C,F,N,0.275940,22.309999,8.403000,0:44:54,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:44:55,6,C,F,N,0.490580,22.309999,8.400100,0:44:55
,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:44:56,7,C,F,N,0
.505961,22.320000,8.369900,0:44:56,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:44:57,8,C,F,N,0.321960,22
.320000,8.382100,0:44:57,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:44:58,9,C,F,N,0.306580,22.320000,8.403000,0:44:58,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:44:59,10,C,F,N,0.2
45300,22.340000,8.400100,0:44:59,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:45:0,11,C,F,N,0.199198,22.320000,8.369900,0:45:0,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:45:1,12,C,F,N,0.352600,22.350000,8.382100,0
:45:1,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:45:2,13,C,F,N,0.551961,22.350000,8.403000,0:45:2,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:45:3,14,C,F,N,0.536601,
22.359999,8.400100,0:45:3,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:45:4,15,C,F,N,0.444539,22.340000,8.369900,0:45:4,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:45:5,16,C,F,N,0.444621,
22.359999,8.382100,0:45:5,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:45:6,17,C,F,N,0.383077,22.350000,8.403000,0:45:6,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:45:7,18,C,F,N,0.429199,22.35
9999,8.400100,0:45:7,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:45:8,19,C,F,N,0.352722,22.359999,8.369900,0:45:8,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:45:9,20,C,F,N,0.291219,22.359999,8
.382100,0:45:9,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:45:10,21,C,F,N,0.413900,22.369999,8.403000,
0:45:10,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:46:38,1,C,F,N,-0.153239,22.650000,8.403000,0:46:38,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:46:39
,2,C,F,N,-0.275757,22.639999,8.400100,0:46:39,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

1099,0:46:40,3,C,F,N,-0.045837,22.619999,8.369900,0:46:40,32.734482,39.869907,932.109985,3,LAUNCH_WAIT,NO

1099,0:46:41,4,C,F,N,-0.015279,22.629999,8.382100,0:46:41,32.734482,39.869904,930.432007,3,LAUNCH_WAIT,NO

1099,0:46:42,5,C,F,N,-0.137858,22.629999,8.403000,0:46:4
2,32.734482,39.869907,931.729980,3,LAUNCH_WAIT,NO

1099,0:46:43,6,C,F,N,0.000081
,22.629999,8.400100,0:46:43,32.734486,39.869907,929.984009,3,LAUNCH_WAIT,NO

